694, 62.7, 27.0, 5.0
695, 54.5, 32.0, 6.0
696, 42.0, 36.0, 9.0
697, 36.9, 35.0, 12.0
698, 87.8, 12.0, 3.0
699, 83.5, 20.0, 3.0
700, 78.0, 29.0, 5.0
701, 67.5, 40.0, 8.0
702, 56.1, 50.0, 13.0
703, 45.5, 53.0, 22.0
704, 37.6, 49.0, 28.0
705, 89.8, 11.0, 1.0
706, 86.7, 16.0, 1.0
707, 80.8, 27.0, 3.0
708, 72.5, 42.0, 9.0
709, 61.6, 58.0, 18.0
710, 53.7, 65.0, 30.0
711, 47.1, 63.0, 41.0
712, 85.1, 15.0, 31.0
713, 82.4, 19.0, 38.0
714, 77.3, 27.0, 50.0
715, 69.8, 37.0, 66.0
716, 63.5, 42.0, 74.0
717, 55.3, 45.0, 70.0
718, 48.6, 45.0, 62.0
719, 83.1, 10.0, 24.0
720, 78.4, 14.0, 30.0
721, 72.2, 18.0, 37.0
722, 61.6, 24.0, 46.0
723, 52.5, 26.0, 51.0
724, 41.6, 27.0, 46.0
725, 34.9, 25.0, 37.0
726, 80.4, 8.0, 22.0
727, 76.1, 11.0, 25.0
728, 69.8, 13.0, 29.0
729, 58.8, 17.0, 35.0
730, 49.0, 20.0, 41.0
731, 34.5, 21.0, 38.0
732, 27.8, 19.0, 31.0
801, 55.3, -38.0, -43.0
802, 75.3, -63.0, 63.0
803, 93.3, 0.0, 94.0
804, 83.5, 45.0, 68.0
805, 72.9, 69.0, 36.0
806, 64.7, 83.0, -11.0
807, 56.5, 80.0, -32.0
871, 50.2, 2.0, 23.0
872, 49.0, 5.0, 23.0
873, 48.2, 7.0, 23.0
874, 49.4, 8.0, 23.0
875, 46.7, 11.0, 19.0
876, 46.3, 15.0, 21.0
877, 58.4, -1.0, -1.0
1205, 89.8, 1.0, 43.0
1215, 87.8, 5.0, 54.0
1225, 84.3, 12.0, 70.0
1235, 80.8, 21.0, 79.0
1245, 64.7, 14.0, 66.0
1255, 58.4, 10.0, 56.0
1265, 47.5, 7.0, 42.0
1345, 86.3, 10.0, 43.0
1355, 83.9, 15.0, 52.0
1365, 80.4, 23.0, 65.0
1375, 75.3, 34.0, 76.0
1385, 60.8, 33.0, 69.0
1395, 46.7, 21.0, 48.0
1405, 35.7, 12.0, 33.0
1485, 79.6, 30.0, 54.0
1495, 73.3, 44.0, 76.0
1505, 66.3, 59.0, 93.0
Orange 021, 60.8, 66.0, 85.0
1525, 46.7, 46.0, 62.0
1535, 40.0, 32.0, 47.0
1545, 29.4, 19.0, 29.0
1555, 82.0, 24.0, 33.0
1565, 76.5, 35.0, 46.0
1575, 69.4, 50.0, 65.0
1585, 65.5, 57.0, 72.0
